"country_name","continent_name","wage_span","median_salary","average_salary","lowest_salary","highest_salary","OOSR_Upper_Secondary_Age_Female","OOSR_Upper_Secondary_Age_Male","Completion_Rate_Upper_Secondary_Male","Completion_Rate_Upper_Secondary_Female","Gross_Tertiary_Education_Enrollment","Unemployment_Rate","IS_above_average","Income_gap"
"Oman","Asia","Monthly",3932.29,4635.42,1171.88,20572.92,17,8,0,0,38,2.67,TRUE,19401.04
"Pakistan","Asia","Monthly",245.34,284.9,71.83,1266.61,0,0,24,23,9,4.45,FALSE,1194.78
"Palau","Oceania","Monthly",2380,2740,690,12200,0,0,0,0,54.7,0,TRUE,11510
"Panama","Central America","Monthly",1890,2130,540,9460,31,35,57,68,47.8,3.9,TRUE,8920
"Papua New Guinea","Oceania","Monthly",1010.96,1128.77,284.93,5013.7,51,40,0,0,1.8,2.46,FALSE,4728.77
"Paraguay","South America","Monthly",1019.69,1126.17,283.93,5009.74,30,33,60,67,34.6,4.81,FALSE,4725.81
"Peru","South America","Monthly",1825.86,1997.36,503.96,8891.82,21,15,78,72,70.7,3.31,TRUE,8387.86
"Philippines","Asia","Monthly",728.78,790.54,199.4,3511.56,17,24,74,83,35.5,2.15,FALSE,3312.16
"Poland","Europe","Monthly",1496.57,1736.84,437.07,7734.55,4,4,0,0,67.8,3.47,FALSE,7297.48
"Portugal","Europe","Monthly",2537,2917.55,739.96,13002.11,4,2,0,0,63.9,6.33,TRUE,12262.15
"Qatar","Asia","Monthly",3846.15,4313.19,1090.66,19230.77,0,0,0,0,17.9,0.09,TRUE,18140.11
"Romania","Europe","Monthly",1739.87,1921.11,484.01,8550.11,19,21,0,0,49.4,3.98,TRUE,8066.1
"Russia","Europe","Monthly",975.51,1065.68,268.47,4744.34,3,3,0,0,81.9,4.59,FALSE,4475.87
"Rwanda","Africa","Monthly",525.39,569.65,143.44,2532.68,49,50,19,16,6.7,1.03,FALSE,2389.24
"Saint Kitts and Nevis","Caribbean","Monthly",1092.59,1259.26,318.52,5592.59,5,4,0,0,86.7,0,FALSE,5274.07
"Saint Lucia","Caribbean","Monthly",922.22,1048.15,262.96,4666.67,21,20,70,90,14.1,20.71,FALSE,4403.71
"Saint Vincent and the Grenadines","Caribbean","Monthly",1144.44,1262.96,318.52,5629.63,14,16,0,0,23.7,18.88,FALSE,5311.11
"Samoa","Oceania","Monthly",808.66,884.48,223.83,3935.02,5,15,0,0,7.6,8.36,FALSE,3711.19
"San Marino","Europe","Monthly",4450.32,4820.3,1215.64,21458.77,57,51,0,0,42.5,0,TRUE,20243.13
"Saudi Arabia","Asia","Monthly",3840,4480,1128,19893.33,9,3,0,0,68,5.93,TRUE,18765.33
"Senegal","Africa","Monthly",493.08,565.59,142.77,2513.74,0,0,11,10,12.8,6.6,FALSE,2370.97
"Serbia","Europe","Monthly",1120.04,1273.6,320.66,5654.41,11,14,71,81,67.2,12.69,FALSE,5333.75
"Seychelles","Africa","Monthly",1246.44,1403.13,353.99,6246.44,12,24,0,0,17.1,0,FALSE,5892.45
"Sierra Leone","Africa","Monthly",249.1,277.75,69.92,1238.23,67,64,27,18,2,4.43,FALSE,1168.31
"Singapore","Asia","Monthly",5647.06,6235.29,1573.53,27720.59,0,0,0,0,84.8,4.11,TRUE,26147.06
"Slovakia","Europe","Monthly",2114.16,2315.01,581.4,10295.98,11,11,0,0,46.6,5.56,TRUE,9714.58
"Slovenia","Europe","Monthly",1934.46,2093.02,528.54,9302.33,1,2,0,0,78.6,4.2,TRUE,8773.79
"Solomon Islands","Oceania","Monthly",644.89,756.53,191.21,3361.05,0,0,0,0,0,0.58,FALSE,3169.84
"Somalia","Africa","Monthly",392.16,455.19,114.85,2030.85,0,0,0,0,2.5,11.35,FALSE,1916
"South Africa","Africa","Monthly",1441.44,1658.72,417.59,7366.19,20,22,45,52,22.4,28.18,FALSE,6948.6
"Spain","Europe","Monthly",2579.28,2875.26,877.38,12050.74,1,2,0,0,88.9,13.96,TRUE,11173.36
"Sri Lanka","Asia","Monthly",249.68,278.41,70.14,1239.11,13,18,32,43,19.6,4.2,FALSE,1168.97
"Sudan","Africa","Monthly",67.61,74.53,18.8,331.92,50,53,33,28,16.9,16.53,FALSE,313.12
"Suriname","South America","Monthly",122.18,133.57,33.65,592.8,34,42,18,26,12.6,7.33,FALSE,559.15
"Sweden","Europe","Monthly",3568.16,4144.56,1043,18389.75,3,1,0,0,67,6.48,TRUE,17346.75
"Switzerland","Europe","Monthly",9836.07,11292.9,2850.27,50363.93,20,16,0,0,59.6,4.58,TRUE,47513.66
"Syria","Asia","Monthly",10.12,11.51,2.9,51.2,66,66,0,0,40.1,8.37,FALSE,48.3
"Tajikistan","Asia","Monthly",959.78,1069.47,269.65,4753.2,0,0,80,63,31.3,11.02,FALSE,4483.55
"Tanzania","Africa","Monthly",457.77,505.54,126.98,2245.08,88,84,32,27,4,1.98,FALSE,2118.1
"Thailand","Asia","Monthly",2432.28,2662.11,670.31,11846.79,21,21,59,72,49.3,0.75,TRUE,11176.48
"Togo","Africa","Monthly",787.96,852.41,214.31,3786.72,66,47,31,12,14.5,2.04,FALSE,3572.41
